combo_id,algo,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,reward,rate,terminal_time,accepted
69,DRL,0.6,0.6,0.5,5,5,6,3049.2400390625,2.9393938302993776,996.0,19.2
69,HEUR,0.6,0.6,0.5,5,5,6,1483.2098022460937,1.8893215656280518,762.2,9.0
69,PURE,0.6,0.6,0.5,5,5,6,193.8,0.3859196822647952,502.6,0.0
70,DRL,0.6,0.6,0.5,5,5,12,2579.1754150390625,2.7950626373291017,915.0,16.2
70,HEUR,0.6,0.6,0.5,5,5,12,1952.6234130859375,2.416560673713684,804.8,13.0
70,PURE,0.6,0.6,0.5,5,5,12,189.8,0.38043596500570587,501.4,0.0
71,DRL,0.6,0.6,0.5,5,8,6,2165.000830078125,2.513047790527344,852.0,15.0
71,HEUR,0.6,0.6,0.5,5,8,6,1862.2766357421874,2.2119141101837156,831.3,11.4
71,PURE,0.6,0.6,0.5,5,8,6,198.8,0.37511878746652816,530.3,0.0
72,DRL,0.6,0.6,0.5,5,8,12,2910.753466796875,2.9435436725616455,971.4,18.6
72,HEUR,0.6,0.6,0.5,5,8,12,2642.95126953125,2.879545211791992,916.2,15.2
72,PURE,0.6,0.6,0.5,5,8,12,202.6,0.4021046919397221,503.6,0.0
73,DRL,0.6,0.6,0.8,3,5,6,1226.3270629882813,1.436067235469818,840.3,5.8
73,HEUR,0.6,0.6,0.8,3,5,6,1112.5964965820312,1.3610745429992677,810.3,5.4
73,PURE,0.6,0.6,0.8,3,5,6,311.2,0.47243533674029947,658.6,0.0
74,DRL,0.6,0.6,0.8,3,5,12,1182.8443725585937,1.493344283103943,787.0,6.0
74,HEUR,0.6,0.6,0.8,3,5,12,1184.89453125,1.4171949863433837,819.4,6.0
74,PURE,0.6,0.6,0.8,3,5,12,311.8,0.47441381041561603,657.3,0.0
75,DRL,0.6,0.6,0.8,3,8,6,912.5086059570312,1.1378389358520509,790.7,4.2
75,HEUR,0.6,0.6,0.8,3,8,6,800.1282592773438,1.0676363348960876,730.3,3.8
75,PURE,0.6,0.6,0.8,3,8,6,323.6,0.4841450123409442,668.8,0.0
76,DRL,0.6,0.6,0.8,3,8,12,863.2195068359375,1.137445068359375,758.1,4.0
76,HEUR,0.6,0.6,0.8,3,8,12,916.2331909179687,1.1812352418899537,763.9,4.2
76,PURE,0.6,0.6,0.8,3,8,12,326.0,0.46780698294806394,696.1,0.0
77,DRL,0.6,0.6,0.8,5,5,6,3632.364794921875,2.949438142776489,1211.8,20.8
77,HEUR,0.6,0.6,0.8,5,5,6,2541.1940673828126,2.459038782119751,1025.6,15.2
77,PURE,0.6,0.6,0.8,5,5,6,317.6,0.48089962476326276,662.1,0.0
78,DRL,0.6,0.6,0.8,5,5,12,3571.654248046875,2.9637929916381838,1185.1,20.8
78,HEUR,0.6,0.6,0.8,5,5,12,2720.8021240234375,2.4803064107894897,1074.4,16.4
78,PURE,0.6,0.6,0.8,5,5,12,315.4,0.48323733435240124,653.0,0.0
79,DRL,0.6,0.6,0.8,5,8,6,3394.40703125,2.967153310775757,1130.3,19.6
79,HEUR,0.6,0.6,0.8,5,8,6,2720.2133056640623,2.5135365962982177,1062.8,17.0
79,PURE,0.6,0.6,0.8,5,8,6,319.8,0.4716088294485978,678.0,0.0
80,DRL,0.6,0.6,0.8,5,8,12,3340.18642578125,2.942441129684448,1119.2,19.4
80,HEUR,0.6,0.6,0.8,5,8,12,2469.4861328125,2.3539695501327516,1022.5,15.2
80,PURE,0.6,0.6,0.8,5,8,12,327.4,0.49347327854011425,663.0,0.0
81,DRL,0.6,0.8,0.5,3,5,6,1105.8428344726562,1.6777652263641358,651.9,4.8
81,HEUR,0.6,0.8,0.5,3,5,6,820.2758605957031,1.2659067988395691,621.2,4.2
81,PURE,0.6,0.8,0.5,3,5,6,192.2,0.38308672142589517,502.0,0.0
82,DRL,0.6,0.8,0.5,3,5,12,1042.8838134765624,1.582137894630432,650.1,6.4
82,HEUR,0.6,0.8,0.5,3,5,12,940.1333740234375,1.4741122007369996,632.4,4.6
82,PURE,0.6,0.8,0.5,3,5,12,208.8,0.3957815331934858,528.9,0.0
83,DRL,0.6,0.8,0.5,3,8,6,941.0520629882812,1.4044398069381714,653.3,5.0
83,HEUR,0.6,0.8,0.5,3,8,6,718.0637939453125,1.143472268405219,607.5,3.2
83,PURE,0.6,0.8,0.5,3,8,6,195.2,0.3760318302455531,519.0,0.0
84,DRL,0.6,0.8,0.5,3,8,12,792.1226806640625,1.2991304874420166,595.2,4.2
84,HEUR,0.6,0.8,0.5,3,8,12,900.7652587890625,1.4075011968612672,636.5,4.0
84,PURE,0.6,0.8,0.5,3,8,12,192.4,0.3717876218558508,517.2,0.0
85,DRL,0.6,0.8,0.5,5,5,6,2372.6412109375,2.605737829208374,908.2,17.0
85,HEUR,0.6,0.8,0.5,5,5,6,2098.2518310546875,2.4832916498184203,832.3,11.6
85,PURE,0.6,0.8,0.5,5,5,6,212.6,0.39325918851975883,540.6,0.0
86,DRL,0.6,0.8,0.5,5,5,12,2161.7200561523437,2.3726632356643678,877.0,13.6
86,HEUR,0.6,0.8,0.5,5,5,12,2047.580322265625,2.336376428604126,862.6,12.4
86,PURE,0.6,0.8,0.5,5,5,12,199.8,0.4016226404197846,498.0,0.0
87,DRL,0.6,0.8,0.5,5,8,6,2612.973779296875,2.761261749267578,927.3,17.0
87,HEUR,0.6,0.8,0.5,5,8,6,1676.920751953125,2.092811679840088,776.0,9.2
87,PURE,0.6,0.8,0.5,5,8,6,192.4,0.3832861437160781,502.1,0.0
88,DRL,0.6,0.8,0.5,5,8,12,2693.0557861328125,2.764735245704651,938.2,16.2
88,HEUR,0.6,0.8,0.5,5,8,12,1737.7150756835938,2.2104166984558105,768.1,11.0
88,PURE,0.6,0.8,0.5,5,8,12,193.4,0.39173315476613507,494.6,0.0
89,DRL,0.6,0.8,0.8,3,5,6,1897.0274658203125,2.0051498889923094,942.1,10.4
89,HEUR,0.6,0.8,0.8,3,5,6,813.805419921875,1.0694601893424989,754.7,3.8
89,PURE,0.6,0.8,0.8,3,5,6,316.8,0.47359627635366375,669.0,0.0
90,DRL,0.6,0.8,0.8,3,5,12,1523.0824951171876,1.7722992420196533,855.1,7.0
90,HEUR,0.6,0.8,0.8,3,5,12,905.0050415039062,1.198855698108673,747.1,4.6
90,PURE,0.6,0.8,0.8,3,5,12,311.2,0.4709343002469155,661.1,0.0
91,DRL,0.6,0.8,0.8,3,8,6,1289.7067260742188,1.47934947013855,843.4,6.2
91,HEUR,0.6,0.8,0.8,3,8,6,981.2855224609375,1.288414478302002,755.3,4.6
91,PURE,0.6,0.8,0.8,3,8,6,325.8,0.4793586727316675,679.3,0.0
92,DRL,0.6,0.8,0.8,3,8,12,1514.3218872070313,1.6538754463195802,889.8,7.6
92,HEUR,0.6,0.8,0.8,3,8,12,1247.543603515625,1.493135643005371,833.7,5.6
92,PURE,0.6,0.8,0.8,3,8,12,311.6,0.4671646878007185,665.4,0.0
93,DRL,0.6,0.8,0.8,5,5,6,3177.4935546875,2.8598059177398683,1105.3,19.4
93,HEUR,0.6,0.8,0.8,5,5,6,2222.0165283203123,2.1875325202941895,994.9,14.4
93,PURE,0.6,0.8,0.8,5,5,6,325.8,0.4899362938771075,665.5,0.0
94,DRL,0.6,0.8,0.8,5,5,12,3281.5826171875,2.8349323749542235,1151.7,19.2
94,HEUR,0.6,0.8,0.8,5,5,12,2727.404296875,2.4554043769836427,1081.8,17.0
