update,kind,reward,rate,ep_rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT,run_id,train_seed,replicate,ALPHA_EFFECTIVE,ALPHA_SATURATION,ALPHA_MEMBERS,R,V,DT,RIDE_TTL_STEPS,RP,HORIZON_MIN,DEMAND_PROFILE,TRAIN_UPDATES,REPORT_UNSCALED,OBS_DIM,R_PAPER,R_PICK_ALPHA_PAPER,PICKUP_RADIUS,ALPHA_EFFECTIVE_PAPER,ALPHA_SATURATION_PAPER
35,eval,512.3681762695312,0.5048957196191676,0.510234397649765,1014.8,nan,1,nan,nan,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
36,train,347.2694061279297,0.4785302551025626,0.4719464123249054,725.7,1451.4,5,0.23102706670761108,0.46205413341522217,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
37,train,341.40366617838544,0.4746662025420722,0.4745473265647888,719.25,1438.5,6,0.2439003884792328,0.4878007769584656,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
38,train,399.04000091552734,0.5298749597196335,0.5218814760446548,753.0833333333334,1506.1666666666667,6,0.26459693908691406,0.5291938781738281,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
39,train,535.361946105957,0.5112073966158578,0.5103093460202217,1047.25,2094.5,4,0.2565481662750244,0.5130963325500488,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
40,train,520.6558456420898,0.5255168767520463,0.5251311510801315,990.75,1981.5,4,0.2639302909374237,0.5278605818748474,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
40,eval,512.3681762695312,0.5048957196191676,0.510234397649765,1014.8,nan,1,nan,nan,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
41,train,323.6183255513509,0.46380268799906976,0.4579402208328247,697.75,1395.5,6,0.22934764623641968,0.45869529247283936,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
42,train,756.1436360677084,0.5497227452327942,0.5500952402750651,1375.5,2751.0,3,0.2758638560771942,0.5517277121543884,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
43,train,310.94166056315106,0.48477327877846077,0.48101652165253955,641.4166666666666,1282.8333333333333,6,0.24176716804504395,0.4835343360900879,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
44,train,389.5758544921875,0.505220923994537,0.4996553540229797,771.1,1542.2,5,0.25438040494918823,0.5087608098983765,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
45,train,374.05091349283856,0.5037157403113076,0.5021471331516901,742.5833333333334,1485.1666666666667,6,0.2536303997039795,0.507260799407959,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
45,eval,537.8239074707031,0.5039107162660013,0.518478536605835,1067.3,nan,1,nan,nan,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
46,train,388.5314697265625,0.517145573973862,0.5131988823413849,751.3,1502.6,5,0.25936591625213623,0.5187318325042725,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
47,train,435.19959716796876,0.4768265554595911,0.48665001392364504,912.7,1825.4,5,0.231796994805336,0.463593989610672,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
48,train,318.7119318644206,0.46234806363310527,0.4624624252319336,689.3333333333334,1378.6666666666667,6,0.23189833760261536,0.4637966752052307,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
49,train,299.7464307149251,0.49368064350522944,0.4826399137576421,607.1666666666666,1214.3333333333333,6,0.24570423364639282,0.49140846729278564,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
50,train,455.62883911132815,0.51350032583267,0.5083141446113586,887.3,1774.6,5,0.2575235962867737,0.5150471925735474,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
50,eval,537.8239074707031,0.5039107162660013,0.518478536605835,1067.3,nan,1,nan,nan,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
