update,kind,reward,rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT
41,train,196.61952,0.439287,441.1666666666667,882.3333333333334,9,0.22262832522392273,0.44525665044784546,2,2,0.1,0.5,5,5,6,5.5
42,train,164.71684,0.38349533,410.6666666666667,821.3333333333334,9,0.194219172000885,0.38843834400177,2,2,0.1,0.5,5,5,6,5.5
43,train,129.2319426103072,0.3532436822722097,360.3636363636364,720.7272727272727,11,0.17888136208057404,0.35776272416114807,2,2,0.1,0.5,5,5,6,5.5
44,train,137.31274,0.3654479,364.3636363636364,728.7272727272727,11,0.18917004764080048,0.37834009528160095,2,2,0.1,0.5,5,5,6,5.5
45,train,112.45547866821289,0.32479133562789425,328.2083333333333,656.4166666666666,12,0.17371423542499542,0.34742847084999084,2,2,0.1,0.5,5,5,6,5.5
45,eval,1118.1920043945313,2.956784828834465,366.8,nan,1,nan,nan,2,2,0.1,0.5,5,5,6,5.5,eval
46,train,122.08269,0.3361832,355.27272727272725,710.5454545454545,11,0.17146123945713043,0.34292247891426086,2,2,0.1,0.5,5,5,6,5.5
47,train,147.07169,0.37760404,379.9,759.8,10,0.20043016970157623,0.40086033940315247,2,2,0.1,0.5,5,5,6,5.5
48,train,118.4262466430664,0.3295016537649175,351.3636363636364,702.7272727272727,11,0.16990330815315247,0.33980661630630493,2,2,0.1,0.5,5,5,6,5.5
49,train,122.7310017672452,0.3351533730164938,351.1818181818182,702.3636363636364,11,0.173918217420578,0.347836434841156,2,2,0.1,0.5,5,5,6,5.5
50,train,136.56695556640625,0.36041601083320424,361.8181818181818,723.6363636363636,11,0.18927547335624695,0.3785509467124939,2,2,0.1,0.5,5,5,6,5.5
50,eval,1118.1920043945313,2.956784828834465,366.8,nan,1,nan,nan,2,2,0.1,0.5,5,5,6,5.5,eval
